lenguaje,cantidad_multiplicacion,count,mean,std
c++,500,5,0.0003846,7.635443667528435e-06
c++,1000,5,0.0004132,1.1497825881443858e-05
c++,2000,5,0.0004022,1.409609875107293e-05
go,500,5,0.0014177999999999999,1.1099549540409338e-05
go,1000,5,0.0014536,5.333197914947468e-05
go,2000,5,0.001418,1.7986105748604938e-05
java,500,5,0.016399,0.012246771309206358
java,1000,5,0.0014794,8.532291603080567e-06
java,2000,5,0.0014338,1.3608820668963185e-05
python,500,5,0.1725546,0.0007718129954853102
python,1000,5,0.1729028,0.0009497321727729424
python,2000,5,0.1726904,0.0006286086222762238
